id,artist,name,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
4vju55Ag7apDL2CfotuE7Q,Bobby Hebb,Sunny,1966-01-01,63,0.714,0.338,4,-10.994,0,0.0456,0.93,0.00644,0.389,0.667,128.385
2ovQ5MCx91XVjgVWEPfvks,Kanye West,Homecoming,2007-09-11,72,0.667,0.747,1,-7.059,1,0.189,0.337,0.0,0.115,0.918,86.917
7IQMKJNcppgahjNWVPmxkl,George Benson,Give Me the Night - Edit,1995-11-10,58,0.867,0.79,1,-5.424,1,0.0518,0.343,0.0131,0.245,0.814,110.048
1J2tfINpEHRhCP8CUS15lE,Grandmaster Flash & The Furious Five,The Message,1982-01-01,51,0.926,0.816,2,-7.072,1,0.221,0.042,0.0,0.114,0.777,100.757
0SzAKZYTUvDLqlPgllEb3N,Quincy Jones,Ai No Corrida,1981-03-28,55,0.798,0.748,11,-12.163,0,0.036,0.0555,0.105,0.0615,0.896,122.429
0EFHiJYD7acLDYEZ92OZtD,Fort Minor,Believe Me (feat. Bobo & Styles of Beyond),2005-11-15,44,0.702,0.978,8,-3.406,1,0.0473,0.0649,0.000444,0.311,0.668,110.0
1KVPQ3XQnmhjPbyXs6AcAS,Fort Minor,Where'd You Go (feat. Holly Brook & Jonah Matranga),2005-11-15,49,0.684,0.819,1,-3.309,0,0.238,0.262,0.00197,0.113,0.25,179.999
6ljbkNIzfmFrGyYUTUAleN,Fort Minor,Remember the Name (feat. Styles of Beyond),2005-11-15,66,0.688,0.835,8,-4.162,1,0.0911,0.0583,2.87e-06,0.0795,0.88,84.858
5stZnlPMYz3Ba8Hbo3ajlP,Xzibit,X,2000-04-02,61,0.936,0.678,4,-3.012,0,0.21,0.0795,0.0,0.0838,0.822,96.911
0LWkaEyQRkF0XAms8Bg1fC,DMX,Party Up,1999-12-21,70,0.51,0.931,11,-3.302,1,0.347,0.0738,0.0,0.5,0.53,201.936
1zzxoZVylsna2BQB65Ppcb,DMX,X Gon' Give It To Ya,2007-06-12,76,0.761,0.899,10,-3.09,0,0.183,0.0135,0.0,0.0719,0.673,95.027
6xdWO1EiFtASxqLuRL1l7d,Rone,Room with a View - Plaid Remix,2020-07-24,32,0.279,0.535,10,-11.507,0,0.0717,0.197,0.916,0.0862,0.238,179.99
76hfruVvmfQbw0eYn1nmeC,DNCE,Cake By The Ocean,2016-11-18,79,0.774,0.753,4,-5.446,0,0.0517,0.152,0.0,0.0371,0.896,119.002
0uW9gZMn6SVBSVp39umUy7,Gregory Porter,Revival,2020-01-16,62,0.668,0.801,7,-2.907,0,0.0372,0.0124,0.00142,0.0946,0.753,130.009
40riOy7x9W7GXjyGp4pjAv,Eagles,Hotel California - 2013 Remaster,1976-12-08,83,0.579,0.508,2,-9.484,1,0.027,0.00574,0.000494,0.0575,0.609,147.125
5vmRQ3zELMLUQPo2FLQ76x,Bronski Beat,Smalltown Boy,1984-10-15,72,0.685,0.584,5,-10.616,0,0.0276,0.288,0.00918,0.124,0.939,134.546
5O4erNlJ74PIF6kGol1ZrC,Bob Marley & The Wailers,Could You Be Loved,1980,76,0.916,0.72,0,-8.548,1,0.1,0.36,0.00016,0.0958,0.76,103.312
3yUcJwYu7fXAfqMj9krY6l,Dido,Thank You,1999,70,0.725,0.583,1,-9.942,0,0.0424,0.3,0.000215,0.0665,0.765,79.984
496eQC5FPo3dmfNRXPcmps,Michel Berger,La groupie du pianiste - Remasterisé en 2002,1980-03-01,58,0.578,0.751,7,-8.355,0,0.0306,0.527,0.0134,0.0484,0.667,102.905
3MzqZDQInpsxboLy33uMct,Téléphone,New-York avec toi - Remasterisé en 2015,1984-05-07,56,0.55,0.815,9,-6.34,1,0.0426,0.122,6.56e-05,0.146,0.716,162.248
3NYCaxkggl0Hh8vQptSUvV,Orchestral Manoeuvres In The Dark,Enola Gay - Remastered,1980-10-24,67,0.559,0.764,2,-7.058,0,0.0348,0.00441,0.0299,0.0807,0.932,143.319
6b37xrsNCWYIUphFBazqD6,Manu Chao,Me Gustas Tu,2001-06-01,71,0.657,0.741,11,-6.822,0,0.0825,0.663,0.494,0.222,0.908,175.949
0mUyMawtxj1CJ76kn9gIZK,Daniel Powter,Bad Day,2005-02-22,76,0.599,0.785,3,-4.013,1,0.0309,0.448,0.00336,0.151,0.52,140.046
0odIT9B9BvOCnXfS0e4lB5,Kim Carnes,Bette Davis Eyes,1981-01-01,73,0.675,0.649,5,-10.271,1,0.0319,0.0204,0.0,0.0959,0.596,116.624
2aibwv5hGXSgw7Yru8IYTO,Red Hot Chili Peppers,Snow (Hey Oh),2006-05-09,79,0.427,0.9,11,-3.674,1,0.0499,0.116,1.75e-05,0.119,0.599,104.655
0d28khcov6AiegSCpG5TuT,Gorillaz,Feel Good Inc.,2005-05-23,81,0.818,0.705,6,-6.679,1,0.177,0.00836,0.00233,0.613,0.772,138.559
6bS7DqTuzrpkluB7boWmw2,Razorlight,America,2006-01-01,66,0.447,0.568,2,-4.975,1,0.0305,0.295,3.26e-06,0.355,0.149,90.933
7zkDEBSxkcBVsStS4qBFpK,Phoenix,Lisztomania,2009,66,0.635,0.786,0,-6.46,1,0.0377,0.0349,0.00767,0.497,0.305,97.54
0V2SavjRuimH4TIbrKyyN0,The Rapture,How Deep Is Your Love?,2011-09-05,12,0.472,0.83,9,-3.938,0,0.0593,0.00065,0.000589,0.212,0.136,122.316
6NtLv8Gib08OxCYWZ8xc3i,The Drums,Lets Go Surfing,2010-01-01,58,0.579,0.806,1,-5.7,1,0.0323,0.212,0.000552,0.0917,0.789,174.057
3zpJ74fO8lUGyhNmFAgtp2,Hawa,Dance,2009-07-17,39,0.851,0.687,5,-7.101,0,0.0287,0.272,0.000168,0.0948,0.873,135.967
0ChHBmij3WHKGmyan2tPST,Moby,Honey,1999-05-17,56,0.829,0.733,8,-8.59,1,0.0342,0.128,0.194,0.078,0.685,102.128
0ta3MZ6B06tEM2pjH9n87C,Myd,Bingo,2017-10-13,40,0.704,0.824,11,-7.399,0,0.043,0.467,0.717,0.0579,0.56,123.019
7DPCB1ZCbEYe8Bsl495Hdf,Mr. Oizo,Two Takes It (feat. Carmen Castro),2008-11-17,31,0.781,0.813,0,-4.735,1,0.122,0.0265,1.79e-05,0.283,0.612,115.012
2jl5ASoz8iZ9NV9mRH93EQ,Para One,Elevation,2015-07-24,26,0.665,0.756,10,-5.439,0,0.0462,0.0634,0.0,0.242,0.525,124.001
5WUWlMYIoMvNL35vyxNvZ5,Para One,Girlhood,2014-10-20,31,0.583,0.626,2,-7.726,0,0.0505,0.478,0.986,0.091,0.0753,90.032
4vyLEx3a8nCHXSobvGXh2B,Para One,La Jeune Fille en Feu (Bande originale du film),2019-09-18,43,0.267,0.103,0,-18.078,1,0.0352,0.944,0.0396,0.0898,0.0374,149.931
1jdNcgAIhemCCwICtiEYM1,Para One,Albatros,2012-06-18,5,0.66,0.857,5,-6.764,1,0.0546,0.082,0.641,0.116,0.652,118.986
40sgwuGnpN1XQ3AbE9exPD,-M-,Manitoumani,2017-04-07,57,0.568,0.478,1,-12.584,0,0.0639,0.575,0.162,0.142,0.147,115.073
1owKRqLAH29T0nu50QMffN,Orelsan,Plus rien ne m'étonne,2011-09-26,44,0.766,0.832,1,-5.003,1,0.292,0.00221,0.0,0.111,0.644,148.638
7gmYDrNYV5AaTEnZo0yhtM,Orelsan,Tout va bien,2017-10-20,53,0.631,0.707,10,-4.601,0,0.147,0.0071,6.47e-06,0.339,0.321,93.007
22UCaycHAlO52EK0Ht0FaC,Orelsan,Ils sont cools,2011-09-26,49,0.772,0.892,11,-4.241,0,0.313,0.154,0.0,0.196,0.625,100.047
5IZGqvPLERJ4BOHAmLrRoy,Orelsan,Suicide social,2011-09-26,50,0.544,0.894,4,-3.081,0,0.441,0.0467,0.0,0.227,0.362,171.828
